,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,tensor(-1.9622),tensor(-3.0644),tensor(-0.7693),tensor(0.7030),tensor(3.1211),tensor(-0.1106),tensor(-1.9750),tensor(2.3235),tensor(-3.1735),tensor(-0.7268),tensor(2.8149),tensor(2.0680),tensor(-0.3948),tensor(1.6732),tensor(-0.1879),tensor(-1.5767),tensor(1.1604),tensor(0.1518),tensor(0.8629),tensor(-0.0888),tensor(-1.0439),tensor(0.6846),tensor(1.5390),tensor(-2.2570),tensor(-3.4245),tensor(-1.8171),tensor(-0.6040),tensor(0.2327),tensor(0.5008),tensor(1.3060),tensor(1.6602),tensor(-1.4837),tensor(-2.7661),tensor(-1.4448),tensor(2.8791),tensor(0.4222),tensor(3.8321),tensor(-1.5112),tensor(-1.5473),tensor(-1.7603),tensor(-2.0775),tensor(0.0590),tensor(-1.8003),tensor(0.8590),tensor(1.3288),tensor(-3.3731),tensor(-0.1370),tensor(-0.4725),tensor(1.4115),tensor(-0.3876),tensor(-0.0116),tensor(-0.6266),tensor(-2.4214),tensor(-2.0237),tensor(-0.0590),tensor(-0.6530),tensor(2.5562),tensor(-3.4156),tensor(-1.0606),tensor(0.1179),tensor(-3.6024),tensor(1.4105),tensor(0.3651),tensor(-0.8531),tensor(-0.2945),tensor(0.6488),tensor(-1.6226),tensor(-1.5787),tensor(0.2847),tensor(-0.6465),tensor(-0.2576),tensor(0.4849),tensor(0.4683),tensor(3.6702),tensor(2.0108),tensor(-5.5601),tensor(1.8820),tensor(-0.1243),tensor(-1.6746),tensor(-0.2880),tensor(-0.6433),tensor(-3.3734),tensor(-1.8301),tensor(-0.8428),tensor(0.7404),tensor(-2.3048),tensor(-2.0465),tensor(-0.1374),tensor(-3.7364),tensor(-0.6951),tensor(-2.2090),tensor(-0.1719),tensor(2.8384),tensor(0.8352),tensor(-0.1026),tensor(-0.2751),tensor(1.4559),tensor(0.0709),tensor(3.5464),tensor(-0.1844),tensor(-1.8590),tensor(0.8404),tensor(-1.1252),tensor(2.4493),tensor(-0.1948),tensor(0.3441),tensor(2.3318),tensor(-0.0118),tensor(-3.0445),tensor(-0.3264),tensor(-0.7261),tensor(-0.1876),tensor(0.9297),tensor(-0.7177),tensor(-0.9499),tensor(-0.3099),tensor(-0.9880),tensor(-1.1425),tensor(-1.4541),tensor(-1.4791),tensor(0.5284),tensor(-5.7736),tensor(1.8429),tensor(-1.0647),tensor(-1.8799),tensor(-0.2796),tensor(-0.1532),tensor(5.3254)
1,tensor(0.7605),tensor(1.5425),tensor(-1.0440),tensor(-0.4476),tensor(1.1015),tensor(-1.2720),tensor(-0.3106),tensor(-1.8364),tensor(-0.5112),tensor(-0.1338),tensor(0.9250),tensor(0.4916),tensor(-1.2641),tensor(0.8724),tensor(-0.2324),tensor(1.6181),tensor(-1.6706),tensor(0.0415),tensor(-0.9752),tensor(-0.6578),tensor(-0.6703),tensor(1.0271),tensor(0.0694),tensor(2.9046),tensor(2.0768),tensor(1.9475),tensor(-1.2186),tensor(-0.9620),tensor(1.5383),tensor(-0.1988),tensor(-0.3049),tensor(-1.1542),tensor(0.6723),tensor(0.5252),tensor(0.4189),tensor(-0.3784),tensor(0.0402),tensor(1.4719),tensor(1.6188),tensor(1.4095),tensor(0.4804),tensor(-0.6640),tensor(2.9408),tensor(0.3210),tensor(-0.3260),tensor(2.3796),tensor(0.8240),tensor(-0.2000),tensor(-1.1597),tensor(1.5718),tensor(-0.6828),tensor(-0.2771),tensor(2.0269),tensor(0.5244),tensor(0.2497),tensor(-0.0381),tensor(-1.0573),tensor(1.9040),tensor(1.8947),tensor(-1.8000),tensor(3.6876),tensor(1.5114),tensor(-1.5286),tensor(1.3255),tensor(1.7439),tensor(-0.6757),tensor(0.0917),tensor(1.1825),tensor(1.3235),tensor(1.9319),tensor(1.5125),tensor(-0.6410),tensor(0.0645),tensor(0.5234),tensor(-0.5992),tensor(1.3033),tensor(-0.4064),tensor(0.1831),tensor(0.1581),tensor(-0.0820),tensor(-1.5288),tensor(1.0631),tensor(1.9753),tensor(-0.3088),tensor(-0.4672),tensor(1.7361),tensor(0.8372),tensor(0.6216),tensor(0.2155),tensor(0.7002),tensor(1.6418),tensor(-0.0262),tensor(0.2741),tensor(1.3293),tensor(-1.2344),tensor(-0.8505),tensor(-0.8673),tensor(0.1610),tensor(-0.3655),tensor(1.9246),tensor(0.0533),tensor(-0.2780),tensor(-0.8248),tensor(0.4316),tensor(-0.3825),tensor(-0.1614),tensor(0.5221),tensor(-0.3487),tensor(0.4592),tensor(-1.4170),tensor(-1.4986),tensor(-0.6735),tensor(-1.2765),tensor(-1.7359),tensor(-0.2736),tensor(-0.8198),tensor(-1.8312),tensor(0.2213),tensor(-0.3519),tensor(-0.9240),tensor(0.5265),tensor(1.8486),tensor(0.7137),tensor(-0.1115),tensor(0.2567),tensor(-0.4258),tensor(-0.6436),tensor(-3.0696)
2,tensor(3.6343),tensor(2.0174),tensor(1.3208),tensor(-0.5186),tensor(1.4770),tensor(-0.7372),tensor(-1.2385),tensor(-2.3753),tensor(2.9754),tensor(0.6162),tensor(-1.2141),tensor(-0.5200),tensor(1.3639),tensor(-1.6220),tensor(-0.9683),tensor(2.9084),tensor(-2.3747),tensor(-1.7646),tensor(-1.4708),tensor(-1.3680),tensor(-0.3552),tensor(0.6374),tensor(-2.5575),tensor(3.7854),tensor(0.8973),tensor(2.9875),tensor(-2.0553),tensor(1.1950),tensor(-2.2272),tensor(-0.0190),tensor(-1.1018),tensor(-0.9673),tensor(5.3109),tensor(-2.1075),tensor(0.0403),tensor(-0.7773),tensor(-0.2992),tensor(-2.0730),tensor(5.1698),tensor(4.2464),tensor(-0.6701),tensor(-1.2268),tensor(5.7944),tensor(1.2299),tensor(-2.5570),tensor(3.5751),tensor(-0.3208),tensor(-0.7880),tensor(-0.8087),tensor(1.2939),tensor(-1.9365),tensor(1.9710),tensor(1.1169),tensor(3.0524),tensor(-1.0216),tensor(-0.1180),tensor(-1.6400),tensor(4.5979),tensor(0.0887),tensor(-2.8953),tensor(2.3450),tensor(2.8331),tensor(-0.3749),tensor(-0.0960),tensor(0.0436),tensor(-1.8656),tensor(0.4511),tensor(1.1773),tensor(-1.5366),tensor(3.1850),tensor(-1.0074),tensor(-0.8239),tensor(-1.4467),tensor(-0.5629),tensor(-3.1958),tensor(5.5561),tensor(-1.6777),tensor(-1.2456),tensor(1.1076),tensor(-1.9962),tensor(-2.1689),tensor(2.1334),tensor(3.0041),tensor(1.0906),tensor(1.0819),tensor(1.4836),tensor(-1.1607),tensor(-2.0138),tensor(2.3561),tensor(4.2981),tensor(3.7249),tensor(-0.0708),tensor(1.4942),tensor(1.1603),tensor(0.9779),tensor(-1.6891),tensor(-1.3893),tensor(0.0608),tensor(-1.2200),tensor(-0.1505),tensor(0.9753),tensor(1.4142),tensor(0.6389),tensor(-0.0934),tensor(-0.9909),tensor(-2.0128),tensor(-0.6574),tensor(-1.5709),tensor(5.8652),tensor(-0.5353),tensor(-1.2228),tensor(0.0839),tensor(-0.0897),tensor(0.7144),tensor(0.4678),tensor(-2.8704),tensor(0.8720),tensor(2.2742),tensor(-0.5790),tensor(1.0382),tensor(-2.2986),tensor(5.3245),tensor(-0.1005),tensor(1.5033),tensor(-1.7677),tensor(-2.4027),tensor(-1.1441),tensor(-3.9464)
3,tensor(1.4697),tensor(2.1015),tensor(-1.6257),tensor(-0.5530),tensor(1.2052),tensor(0.0170),tensor(-0.0233),tensor(-0.3853),tensor(-1.0263),tensor(0.2483),tensor(1.1415),tensor(0.2644),tensor(-1.7625),tensor(1.4139),tensor(-0.5755),tensor(0.9814),tensor(-0.9832),tensor(-0.7978),tensor(-1.3198),tensor(-0.7220),tensor(-0.6308),tensor(1.7396),tensor(0.4313),tensor(2.2023),tensor(1.6266),tensor(0.7627),tensor(-1.2808),tensor(-1.6399),tensor(1.7098),tensor(-0.3539),tensor(1.2867),tensor(-1.2977),tensor(1.9371),tensor(-0.1175),tensor(1.0757),tensor(-0.7393),tensor(1.2373),tensor(0.4359),tensor(2.8869),tensor(0.9129),tensor(0.6672),tensor(-0.7489),tensor(1.7789),tensor(0.3449),tensor(-0.8207),tensor(1.3127),tensor(0.5148),tensor(-1.5044),tensor(-1.6634),tensor(1.2938),tensor(-0.4797),tensor(-0.1674),tensor(1.6288),tensor(0.3184),tensor(-0.3394),tensor(0.1034),tensor(-0.3384),tensor(1.0705),tensor(1.5003),tensor(-1.8471),tensor(2.3997),tensor(1.1935),tensor(-1.6588),tensor(1.1314),tensor(1.8746),tensor(-0.7383),tensor(-0.6542),tensor(2.2331),tensor(0.8132),tensor(1.5072),tensor(1.6114),tensor(-0.7963),tensor(-0.7044),tensor(0.2606),tensor(-0.7958),tensor(1.6553),tensor(-0.0042),tensor(0.4237),tensor(-0.7251),tensor(-0.5912),tensor(-0.8727),tensor(1.3185),tensor(2.0662),tensor(-1.0661),tensor(-0.4841),tensor(0.7925),tensor(1.3440),tensor(0.7624),tensor(-1.6644),tensor(1.2372),tensor(1.5614),tensor(-0.3642),tensor(0.4011),tensor(1.7003),tensor(-1.5085),tensor(-0.3551),tensor(-1.6064),tensor(-0.4803),tensor(0.0704),tensor(2.1816),tensor(0.7775),tensor(0.0349),tensor(-0.3800),tensor(1.0502),tensor(-1.9740),tensor(-1.1004),tensor(-0.1115),tensor(-1.2396),tensor(0.6150),tensor(-1.5733),tensor(-0.7508),tensor(-0.5205),tensor(-1.3299),tensor(-1.4920),tensor(0.3347),tensor(-0.4706),tensor(-1.3983),tensor(0.5523),tensor(0.2862),tensor(-2.4349),tensor(1.6996),tensor(0.7424),tensor(0.9093),tensor(-0.0917),tensor(1.3210),tensor(-0.3124),tensor(-1.1832),tensor(-3.5299)
4,tensor(0.1505),tensor(0.3855),tensor(0.2279),tensor(-0.0088),tensor(-0.6440),tensor(1.6117),tensor(1.0286),tensor(0.0168),tensor(1.0530),tensor(-0.2562),tensor(-0.6154),tensor(-1.5727),tensor(1.2452),tensor(-0.5750),tensor(-0.3879),tensor(-1.7553),tensor(0.6115),tensor(2.2320),tensor(1.0824),tensor(0.3443),tensor(0.6825),tensor(-0.3808),tensor(-0.0110),tensor(-0.4236),tensor(0.6137),tensor(-2.1897),tensor(-0.2368),tensor(-0.7930),tensor(0.1928),tensor(-0.7359),tensor(-0.9333),tensor(1.0620),tensor(0.1462),tensor(1.9376),tensor(0.8591),tensor(0.7728),tensor(-1.3554),tensor(0.4639),tensor(-0.3353),tensor(0.8108),tensor(1.2594),tensor(0.2901),tensor(-1.3036),tensor(0.7193),tensor(-0.3783),tensor(-0.1585),tensor(0.0332),tensor(-0.7911),tensor(1.0557),tensor(-0.2192),tensor(-0.0271),tensor(-1.0373),tensor(-0.3774),tensor(-0.5114),tensor(1.2526),tensor(-0.2284),tensor(0.5937),tensor(-0.6656),tensor(0.6683),tensor(0.0851),tensor(1.8366),tensor(-0.1071),tensor(-0.3793),tensor(0.9254),tensor(1.0841),tensor(1.4336),tensor(0.5669),tensor(0.7623),tensor(-0.3770),tensor(-2.6144),tensor(-0.8385),tensor(0.0980),tensor(2.1196),tensor(-0.7867),tensor(-0.0181),tensor(-0.0336),tensor(1.9231),tensor(0.4259),tensor(2.0579),tensor(1.4588),tensor(-0.3698),tensor(-0.7046),tensor(-0.2479),tensor(-1.1373),tensor(-0.4302),tensor(-1.5180),tensor(-0.5388),tensor(-0.3376),tensor(0.1589),tensor(0.0743),tensor(0.4421),tensor(0.7137),tensor(-2.1019),tensor(-0.1930),tensor(0.9060),tensor(-0.4785),tensor(-0.5922),tensor(-0.0588),tensor(-1.0466),tensor(-0.0276),tensor(1.1917),tensor(-1.5532),tensor(0.4565),tensor(-0.5181),tensor(0.5780),tensor(-0.8125),tensor(-0.1571),tensor(1.2081),tensor(-1.1456),tensor(-0.0953),tensor(1.7751),tensor(-1.1726),tensor(0.1034),tensor(-0.0053),tensor(-0.5400),tensor(0.0436),tensor(1.2190),tensor(-0.1960),tensor(-0.5585),tensor(-0.3732),tensor(-0.2929),tensor(-0.1262),tensor(0.4066),tensor(1.2521),tensor(0.7750),tensor(1.5869),tensor(0.9851),tensor(-1.3789)
5,tensor(2.1898),tensor(-1.0461),tensor(1.3366),tensor(3.2263),tensor(-0.1547),tensor(-0.0708),tensor(-2.0609),tensor(-0.5047),tensor(-0.6556),tensor(1.8941),tensor(-0.4633),tensor(0.5037),tensor(-0.6599),tensor(0.5537),tensor(-0.5093),tensor(-0.0179),tensor(0.7596),tensor(-1.4314),tensor(-0.7879),tensor(-0.6231),tensor(0.2108),tensor(-2.2747),tensor(-0.7465),tensor(-1.1432),tensor(-5.1056),tensor(-2.0127),tensor(1.3888),tensor(-2.7167),tensor(-3.7932),tensor(-2.9102),tensor(-2.2393),tensor(-1.3338),tensor(1.2091),tensor(-0.5217),tensor(0.4385),tensor(-0.7217),tensor(-2.9046),tensor(-0.5786),tensor(-2.5111),tensor(-0.6360),tensor(-0.6886),tensor(0.1950),tensor(1.9289),tensor(-2.1130),tensor(2.8080),tensor(-1.1943),tensor(-1.0470),tensor(0.6420),tensor(0.1910),tensor(-1.3011),tensor(0.4218),tensor(2.5962),tensor(-1.8350),tensor(-0.5661),tensor(-1.7754),tensor(0.6993),tensor(1.3179),tensor(-1.3293),tensor(-2.3293),tensor(0.2625),tensor(-1.3694),tensor(2.9298),tensor(2.8634),tensor(-0.8552),tensor(-2.0318),tensor(-1.1652),tensor(0.0216),tensor(-3.5836),tensor(-2.3627),tensor(3.5304),tensor(-0.7797),tensor(-1.0294),tensor(-0.2875),tensor(3.0613),tensor(-2.6135),tensor(-0.6912),tensor(-2.9406),tensor(-3.7701),tensor(-3.4433),tensor(-1.1351),tensor(1.7720),tensor(-1.2959),tensor(-1.7170),tensor(5.9939),tensor(2.9313),tensor(-0.8651),tensor(-1.9208),tensor(-0.5317),tensor(1.1890),tensor(-1.1874),tensor(-2.4277),tensor(-0.9569),tensor(-2.0765),tensor(-1.9601),tensor(2.5384),tensor(0.6989),tensor(0.1883),tensor(-1.0399),tensor(-2.1113),tensor(-2.5766),tensor(-2.5612),tensor(-0.1213),tensor(3.1226),tensor(-1.5439),tensor(-2.8568),tensor(-0.1262),tensor(-0.5522),tensor(-0.2442),tensor(-0.3481),tensor(2.8173),tensor(-2.3541),tensor(3.3079),tensor(1.0251),tensor(0.2574),tensor(1.1671),tensor(-0.1683),tensor(-3.5822),tensor(2.4190),tensor(1.2957),tensor(1.5368),tensor(0.5716),tensor(-0.5482),tensor(0.7972),tensor(-0.1966),tensor(-3.7491),tensor(-1.6264),tensor(-0.6300),tensor(3.8934)
6,tensor(1.3851),tensor(2.3529),tensor(-0.2652),tensor(-1.1377),tensor(1.7542),tensor(-1.3519),tensor(0.0520),tensor(-1.0125),tensor(-0.3952),tensor(-0.0036),tensor(-0.6350),tensor(1.1089),tensor(-0.0466),tensor(1.2557),tensor(1.2158),tensor(1.0660),tensor(-1.5670),tensor(-1.9253),tensor(-0.7973),tensor(-0.5862),tensor(-1.4194),tensor(0.7101),tensor(1.6173),tensor(3.6163),tensor(0.4646),tensor(2.4563),tensor(-0.6735),tensor(0.4703),tensor(1.1558),tensor(0.7391),tensor(-0.1020),tensor(-1.4195),tensor(1.3610),tensor(0.4072),tensor(-0.7673),tensor(0.1463),tensor(0.1440),tensor(-0.3831),tensor(0.4109),tensor(1.9985),tensor(0.2451),tensor(-1.3330),tensor(3.1819),tensor(-0.0502),tensor(-0.2855),tensor(1.4765),tensor(0.4404),tensor(-0.4202),tensor(-0.5658),tensor(2.8397),tensor(-0.9519),tensor(0.0654),tensor(2.7300),tensor(-0.1493),tensor(-0.1427),tensor(0.1325),tensor(-0.6610),tensor(1.9693),tensor(1.4859),tensor(-2.8242),tensor(3.6464),tensor(1.9126),tensor(-1.3189),tensor(1.4843),tensor(0.2499),tensor(-0.2233),tensor(-0.9012),tensor(1.4243),tensor(0.4024),tensor(-0.1721),tensor(1.0772),tensor(0.2788),tensor(-1.0435),tensor(0.9550),tensor(-0.7389),tensor(1.1479),tensor(-0.3301),tensor(-1.2319),tensor(-0.5254),tensor(-0.3274),tensor(0.2673),tensor(1.5992),tensor(3.0541),tensor(-0.2097),tensor(-1.2089),tensor(1.0861),tensor(1.0994),tensor(0.0332),tensor(-0.6694),tensor(1.3383),tensor(2.3084),tensor(-0.6447),tensor(1.3338),tensor(0.8529),tensor(-0.8207),tensor(-0.4371),tensor(-0.6901),tensor(-0.5016),tensor(0.4426),tensor(1.1740),tensor(0.6672),tensor(-0.1442),tensor(-0.6627),tensor(1.2859),tensor(-2.2579),tensor(-0.5451),tensor(0.7427),tensor(-1.7699),tensor(-0.2353),tensor(-0.4522),tensor(-1.0348),tensor(-0.7555),tensor(-0.5236),tensor(-1.4312),tensor(-1.3716),tensor(0.3757),tensor(-1.0712),tensor(0.0327),tensor(-0.1115),tensor(-1.7987),tensor(-0.0545),tensor(0.5291),tensor(1.3672),tensor(-0.8901),tensor(-0.0912),tensor(0.9721),tensor(-1.3606),tensor(-1.2985)
7,tensor(-0.6294),tensor(2.6235),tensor(0.0945),tensor(-0.5120),tensor(-0.4453),tensor(-2.0273),tensor(-2.2041),tensor(1.2689),tensor(2.1335),tensor(-0.0893),tensor(-2.3566),tensor(0.7355),tensor(-0.8551),tensor(-1.8111),tensor(-0.7124),tensor(0.0123),tensor(2.4735),tensor(-0.6563),tensor(-1.8589),tensor(-0.8410),tensor(-1.6703),tensor(-1.9542),tensor(-0.2501),tensor(-3.2061),tensor(-2.1247),tensor(-3.1710),tensor(-0.4728),tensor(4.8074),tensor(-0.8618),tensor(0.1980),tensor(1.8272),tensor(-0.0859),tensor(0.6622),tensor(-2.0620),tensor(-0.7536),tensor(-0.2392),tensor(4.6989),tensor(-1.5620),tensor(2.9769),tensor(-0.9168),tensor(-1.0995),tensor(0.2728),tensor(-2.3903),tensor(0.8453),tensor(1.0487),tensor(-1.7531),tensor(-0.4158),tensor(3.2101),tensor(0.2671),tensor(-1.6386),tensor(-1.0617),tensor(1.0730),tensor(-1.3753),tensor(-0.1877),tensor(0.5089),tensor(-0.8530),tensor(-0.3856),tensor(0.2809),tensor(-1.4624),tensor(2.8650),tensor(-5.2502),tensor(-1.5519),tensor(3.5847),tensor(-1.0139),tensor(-2.3242),tensor(1.4000),tensor(-0.8473),tensor(-0.4910),tensor(-3.1744),tensor(3.9053),tensor(0.7823),tensor(-0.8022),tensor(-2.8962),tensor(-0.7208),tensor(0.8089),tensor(-2.2436),tensor(1.7436),tensor(-1.3686),tensor(-1.7531),tensor(-2.4163),tensor(1.0154),tensor(-3.3007),tensor(-0.5505),tensor(1.1484),tensor(0.3919),tensor(0.7261),tensor(-3.3135),tensor(-0.2515),tensor(0.2794),tensor(-0.6898),tensor(-0.4758),tensor(-2.1829),tensor(-0.3207),tensor(-0.9566),tensor(-1.2836),tensor(1.8456),tensor(-2.1784),tensor(-1.6635),tensor(1.6589),tensor(-1.5828),tensor(-2.9080),tensor(3.5028),tensor(1.5258),tensor(-0.4919),tensor(2.7478),tensor(0.0978),tensor(-1.7338),tensor(-1.0215),tensor(1.0452),tensor(-0.2069),tensor(-0.4885),tensor(2.7748),tensor(4.4933),tensor(3.3407),tensor(4.1871),tensor(-3.1823),tensor(5.8368),tensor(-3.5398),tensor(4.4082),tensor(-0.0132),tensor(-2.5763),tensor(-2.5384),tensor(0.1459),tensor(-1.0428),tensor(0.7319),tensor(-3.2777),tensor(0.2281),tensor(1.4413)
8,tensor(1.2836),tensor(0.0262),tensor(0.2734),tensor(-1.5539),tensor(1.1544),tensor(-0.1051),tensor(-1.6410),tensor(-1.2193),tensor(0.5319),tensor(0.7277),tensor(-0.0801),tensor(0.3198),tensor(-0.6723),tensor(-0.2790),tensor(-0.1036),tensor(0.9661),tensor(0.0920),tensor(-0.6072),tensor(-0.2874),tensor(0.1161),tensor(0.1184),tensor(0.7362),tensor(0.5726),tensor(1.3922),tensor(1.2180),tensor(-0.0757),tensor(0.0556),tensor(-0.1598),tensor(1.0024),tensor(0.1292),tensor(0.9388),tensor(-1.6352),tensor(0.2343),tensor(0.5737),tensor(-0.6248),tensor(0.4566),tensor(-0.4827),tensor(-0.0280),tensor(-0.0460),tensor(1.6467),tensor(0.8813),tensor(0.5817),tensor(0.7099),tensor(-0.3915),tensor(-0.5207),tensor(2.2154),tensor(0.6545),tensor(-0.7703),tensor(0.2065),tensor(0.2261),tensor(-0.9015),tensor(-0.3169),tensor(0.0003),tensor(-0.0780),tensor(-0.0592),tensor(-0.5265),tensor(0.3761),tensor(0.4619),tensor(1.5628),tensor(-1.4006),tensor(1.6049),tensor(1.0704),tensor(-0.2647),tensor(0.3381),tensor(-0.2470),tensor(-1.7003),tensor(0.8019),tensor(1.2054),tensor(1.2372),tensor(0.6300),tensor(0.4197),tensor(-1.9635),tensor(-0.9844),tensor(-0.6443),tensor(-0.3476),tensor(0.3780),tensor(0.4310),tensor(0.1659),tensor(0.6629),tensor(0.8716),tensor(-1.4855),tensor(0.6247),tensor(1.8281),tensor(-1.4214),tensor(-1.1111),tensor(0.4710),tensor(0.2912),tensor(-0.4559),tensor(0.3593),tensor(0.1232),tensor(2.5737),tensor(0.2298),tensor(-0.4453),tensor(1.0891),tensor(-1.0818),tensor(0.6008),tensor(0.9138),tensor(-0.7139),tensor(-0.0203),tensor(1.2139),tensor(0.1832),tensor(-0.1301),tensor(0.5273),tensor(1.0983),tensor(0.3422),tensor(-0.7526),tensor(-0.3900),tensor(-1.4271),tensor(0.8996),tensor(-0.7317),tensor(-0.1563),tensor(-0.7700),tensor(0.4428),tensor(-1.6397),tensor(-1.3407),tensor(-1.0833),tensor(-0.4324),tensor(1.3776),tensor(0.7295),tensor(-0.7294),tensor(-0.2998),tensor(1.7941),tensor(0.9479),tensor(-0.1019),tensor(0.5888),tensor(-0.8133),tensor(-0.5960),tensor(0.6737)
9,tensor(0.0484),tensor(0.7768),tensor(-0.2784),tensor(0.5220),tensor(-0.4971),tensor(1.3965),tensor(2.8629),tensor(-0.5129),tensor(-0.3798),tensor(1.0080),tensor(1.1899),tensor(-1.2170),tensor(-0.2108),tensor(0.4967),tensor(0.0977),tensor(-1.6533),tensor(-0.4314),tensor(1.3064),tensor(1.1977),tensor(1.0756),tensor(0.5570),tensor(1.3416),tensor(0.8776),tensor(-0.3049),tensor(-0.0808),tensor(-0.6786),tensor(-0.4656),tensor(-2.4670),tensor(1.5753),tensor(-2.0900),tensor(-0.9628),tensor(0.4307),tensor(-1.3051),tensor(2.3424),tensor(1.0512),tensor(0.9947),tensor(-3.4327),tensor(0.1233),tensor(-0.7738),tensor(-0.2184),tensor(1.1589),tensor(-0.2170),tensor(-0.5999),tensor(0.7918),tensor(-0.3752),tensor(-0.4189),tensor(0.0551),tensor(-1.8497),tensor(-0.3630),tensor(-0.6542),tensor(0.5308),tensor(0.1067),tensor(-0.5997),tensor(-0.3802),tensor(1.8392),tensor(0.7846),tensor(0.2380),tensor(-1.6082),tensor(1.9574),tensor(0.2294),tensor(1.5196),tensor(0.1280),tensor(-0.0729),tensor(0.7457),tensor(2.0057),tensor(1.1341),tensor(-0.2917),tensor(0.3609),tensor(1.3473),tensor(-2.3606),tensor(0.1608),tensor(0.3954),tensor(2.2072),tensor(0.3953),tensor(-0.2490),tensor(-0.7421),tensor(-0.1197),tensor(0.4331),tensor(0.6817),tensor(2.4114),tensor(0.0060),tensor(-0.8482),tensor(0.1581),tensor(-0.5200),tensor(-0.1249),tensor(-0.5648),tensor(0.9834),tensor(0.9059),tensor(-0.8132),tensor(0.6597),tensor(0.1769),tensor(0.1064),tensor(-3.0778),tensor(0.0593),tensor(0.3523),tensor(-1.0500),tensor(-0.9410),tensor(-0.4615),tensor(-0.6221),tensor(1.0366),tensor(1.8373),tensor(-2.3464),tensor(-0.7338),tensor(1.3366),tensor(-0.0419),tensor(-0.6776),tensor(1.3540),tensor(1.5076),tensor(-1.6463),tensor(-0.7618),tensor(0.6209),tensor(-0.8491),tensor(-1.8170),tensor(-1.4983),tensor(-0.8947),tensor(-0.1597),tensor(-1.3446),tensor(-1.2930),tensor(-1.0579),tensor(0.2612),tensor(0.9383),tensor(-1.0810),tensor(1.1238),tensor(2.0217),tensor(1.5130),tensor(1.6079),tensor(-0.1411),tensor(-1.0333)
