,Var1,Var2,value
3,249,249,1.0
6,6,6,1.0
8,114,114,1.0
16,156,156,1.0
18,124,156,1.0
20,200,156,1.0
27,168,168,1.0
44,113,113,1.0
46,19,19,1.0
52,88,88,1.0
72,58,58,1.0
75,95,58,1.0
76,118,58,1.0
77,230,58,1.0
80,165,165,1.0
88,176,176,1.0
90,0,176,1.0
95,153,153,1.0
105,85,85,1.0
106,208,85,1.0
111,189,189,1.0
115,111,189,1.0
130,27,27,1.0
141,29,29,1.0
142,152,29,1.0
151,172,172,1.0
155,95,172,1.0
156,118,172,1.0
157,230,172,1.0
162,56,56,1.0
181,182,182,1.0
183,238,182,1.0
190,169,169,1.0
204,73,73,1.0
218,189,189,1.0
224,77,77,1.0
276,101,101,1.0
278,219,101,1.0
279,220,101,1.0
280,48,101,1.0
287,90,90,1.0
300,223,223,1.0
310,180,180,1.0
342,82,82,1.0
344,239,82,1.0
346,143,82,1.0
352,222,222,1.0
360,244,244,1.0
364,172,172,1.0
396,114,114,1.0
399,34,34,1.0
400,158,34,1.0
402,169,34,1.0
410,249,249,1.0
414,179,179,1.0
421,146,146,1.0
423,251,251,1.0
424,99,99,1.0
426,28,99,1.0
438,21,21,1.0
447,180,180,1.0
449,216,180,1.0
450,167,180,1.0
479,88,88,1.0
493,81,81,1.0
503,70,70,1.0
506,163,163,1.0
509,218,218,1.0
539,34,158,1.0
540,158,158,1.0
542,169,158,1.0
543,16,16,1.0
545,127,127,1.0
552,243,243,1.0
553,152,243,1.0
563,102,102,1.0
569,145,145,1.0
572,85,85,1.0
574,1,1,1.0
575,161,161,1.0
581,234,234,1.0
589,117,117,1.0
590,239,117,1.0
624,128,128,1.0
629,6,6,1.0
631,202,202,1.0
637,157,157,1.0
638,96,96,1.0
641,171,171,1.0
642,239,171,1.0
644,143,171,1.0
667,133,133,1.0
672,44,44,1.0
673,155,44,1.0
680,61,61,1.0
703,14,14,1.0
708,156,124,1.0
710,124,124,1.0
713,200,124,1.0
715,156,156,1.0
717,206,206,1.0
721,112,112,1.0
726,184,184,1.0
733,222,222,1.0
734,104,104,1.0
739,42,42,1.0
752,209,209,1.0
753,69,69,1.0
758,76,76,1.0
759,33,76,1.0
771,153,153,1.0
773,213,153,1.0
778,137,137,1.0
784,233,233,1.0
788,55,55,1.0
791,98,98,1.0
793,67,67,1.0
800,62,62,1.0
810,223,223,1.0
811,155,223,1.0
819,170,170,1.0
833,97,97,1.0
838,183,183,1.0
839,182,182,1.0
842,22,22,1.0
852,115,115,1.0
864,93,93,1.0
878,178,178,1.0
879,47,178,1.0
880,105,178,1.0
881,25,25,1.0
899,255,255,1.0
910,237,237,1.0
915,191,191,1.0
924,185,185,1.0
931,108,108,1.0
968,79,79,1.0
970,126,126,1.0
972,197,126,1.0
973,106,106,1.0
981,83,83,1.0
986,82,239,1.0
990,117,239,1.0
992,171,239,1.0
994,239,239,1.0
996,143,239,1.0
1007,201,201,1.0
1041,94,94,1.0
1076,24,24,1.0
1078,254,24,1.0
1079,221,221,1.0
1110,193,193,1.0
1113,246,193,1.0
1114,20,20,1.0
1117,41,41,1.0
1120,168,168,1.0
1132,147,147,1.0
1133,84,84,1.0
1167,241,241,1.0
1170,28,241,1.0
1172,210,210,1.0
1178,180,216,1.0
1180,216,216,1.0
1190,235,235,1.0
1191,253,235,1.0
1193,76,33,1.0
1194,33,33,1.0
1202,101,219,1.0
1206,219,219,1.0
1207,220,219,1.0
1208,48,219,1.0
1235,205,205,1.0
1237,251,251,1.0
1249,243,243,1.0
1271,193,246,1.0
1272,246,246,1.0
1274,196,196,1.0
1277,244,244,1.0
1300,189,189,1.0
1321,132,132,1.0
1323,53,53,1.0
1331,224,224,1.0
1340,177,177,1.0
1352,252,252,1.0
1367,199,199,1.0
1369,154,154,1.0
1373,101,220,1.0
1377,219,220,1.0
1378,220,220,1.0
1379,48,220,1.0
1385,215,215,1.0
1391,242,242,1.0
1392,52,52,1.0
1398,58,58,1.0
1399,159,159,1.0
1404,227,227,1.0
1408,236,236,1.0
1424,80,80,1.0
1451,247,247,1.0
1461,85,208,1.0
1463,208,208,1.0
1467,34,169,1.0
1468,158,169,1.0
1469,169,169,1.0
1474,113,113,1.0
1476,103,103,1.0
1477,59,59,1.0
1483,71,71,1.0
1486,203,203,1.0
1491,51,51,1.0
1492,207,51,1.0
1496,149,149,1.0
1508,198,198,1.0
1509,109,109,1.0
1512,256,256,1.0
1513,39,39,1.0
1516,195,195,1.0
1521,192,192,1.0
1522,122,122,1.0
1526,4,4,1.0
1536,24,254,1.0
1538,254,254,1.0
1553,23,23,1.0
1565,212,212,1.0
1568,87,87,1.0
1580,101,48,1.0
1582,219,48,1.0
1583,220,48,1.0
1584,48,48,1.0
1588,36,36,1.0
1591,153,213,1.0
1594,213,213,1.0
1596,18,213,1.0
1613,176,0,1.0
1615,0,0,1.0
1616,162,162,1.0
1619,248,248,1.0
1660,136,136,1.0
1671,214,214,1.0
1679,125,125,1.0
1690,119,119,1.0
1691,31,31,1.0
1695,51,207,1.0
1696,207,207,1.0
1700,131,131,1.0
1708,72,72,1.0
1710,176,176,1.0
1712,86,86,1.0
1720,142,142,1.0
1721,151,151,1.0
1723,74,151,1.0
1753,130,130,1.0
1768,213,18,1.0
1770,18,18,1.0
1773,121,121,1.0
1775,75,121,1.0
1782,229,229,1.0
