,Var1,Var2,value
2,249,249,1.0
5,6,6,1.0
7,114,114,1.0
12,156,156,1.0
21,220,156,1.0
22,242,156,1.0
23,142,156,1.0
25,107,156,1.0
26,11,156,1.0
31,168,168,1.0
59,113,113,1.0
61,19,19,1.0
65,88,88,1.0
94,58,58,1.0
96,165,165,1.0
131,176,176,1.0
133,172,176,1.0
139,137,176,1.0
145,196,176,1.0
156,217,176,1.0
160,153,153,1.0
166,85,85,1.0
169,189,189,1.0
175,27,27,1.0
212,29,29,1.0
216,176,172,1.0
218,172,172,1.0
221,180,172,1.0
234,196,172,1.0
235,244,172,1.0
237,58,172,1.0
239,136,172,1.0
250,148,172,1.0
252,217,172,1.0
257,56,56,1.0
264,182,182,1.0
266,169,169,1.0
284,73,73,1.0
293,189,189,1.0
297,77,77,1.0
373,101,101,1.0
375,90,90,1.0
381,223,223,1.0
432,180,180,1.0
464,82,82,1.0
466,222,222,1.0
468,244,244,1.0
471,172,172,1.0
488,114,114,1.0
491,34,34,1.0
493,249,249,1.0
494,179,179,1.0
498,146,146,1.0
502,196,146,1.0
504,251,251,1.0
505,99,99,1.0
510,21,21,1.0
515,172,180,1.0
516,180,180,1.0
545,88,88,1.0
549,81,81,1.0
553,70,70,1.0
555,163,163,1.0
556,218,218,1.0
564,158,158,1.0
565,16,16,1.0
566,127,127,1.0
568,243,243,1.0
584,102,102,1.0
605,145,145,1.0
608,85,85,1.0
609,196,85,1.0
612,1,1,1.0
613,161,161,1.0
641,234,234,1.0
647,117,117,1.0
670,128,128,1.0
698,6,6,1.0
699,202,202,1.0
703,157,157,1.0
704,96,96,1.0
705,171,171,1.0
713,133,133,1.0
717,44,44,1.0
719,61,61,1.0
734,14,14,1.0
736,124,124,1.0
737,156,156,1.0
738,206,206,1.0
742,112,112,1.0
747,242,112,1.0
749,11,112,1.0
753,184,184,1.0
759,222,222,1.0
760,104,104,1.0
762,42,42,1.0
775,209,209,1.0
776,69,69,1.0
779,76,76,1.0
807,153,153,1.0
812,176,137,1.0
818,137,137,1.0
822,196,137,1.0
831,217,137,1.0
835,233,233,1.0
838,55,55,1.0
840,98,98,1.0
841,67,67,1.0
845,62,62,1.0
850,223,223,1.0
866,170,170,1.0
872,97,97,1.0
875,183,183,1.0
876,182,182,1.0
878,22,22,1.0
905,115,115,1.0
913,93,93,1.0
925,178,178,1.0
926,25,25,1.0
970,255,255,1.0
980,237,237,1.0
982,191,191,1.0
985,185,185,1.0
988,108,108,1.0
1000,79,79,1.0
1001,126,126,1.0
1002,106,106,1.0
1007,83,83,1.0
1009,239,239,1.0
1024,201,201,1.0
1092,94,94,1.0
1106,24,24,1.0
1108,148,24,1.0
1109,221,221,1.0
1113,193,193,1.0
1114,20,20,1.0
1116,41,41,1.0
1119,168,168,1.0
