,Var1,Var2,value
2,249,249,1.0
5,6,6,1.0
8,180,6,1.0
9,1,6,1.0
12,142,6,1.0
15,9,6,1.0
21,114,114,1.0
29,156,156,1.0
39,168,168,1.0
67,113,113,1.0
69,19,19,1.0
73,88,88,1.0
75,94,88,1.0
77,129,88,1.0
110,58,58,1.0
115,165,165,1.0
123,176,176,1.0
131,153,153,1.0
149,85,85,1.0
156,189,189,1.0
158,94,189,1.0
159,244,189,1.0
161,118,189,1.0
169,27,27,1.0
182,29,29,1.0
183,180,29,1.0
185,1,29,1.0
187,25,29,1.0
188,191,29,1.0
191,196,29,1.0
197,142,29,1.0
214,172,172,1.0
219,56,56,1.0
245,182,182,1.0
247,169,169,1.0
270,73,73,1.0
273,94,73,1.0
291,189,189,1.0
300,77,77,1.0
301,180,77,1.0
302,233,77,1.0
306,217,77,1.0
344,101,101,1.0
346,90,90,1.0
352,223,223,1.0
364,6,180,1.0
367,77,180,1.0
369,180,180,1.0
396,82,82,1.0
399,222,222,1.0
404,244,244,1.0
407,172,172,1.0
410,25,172,1.0
411,142,172,1.0
437,114,114,1.0
439,34,34,1.0
441,249,249,1.0
442,179,179,1.0
444,146,146,1.0
448,197,146,1.0
449,251,251,1.0
450,99,99,1.0
462,21,21,1.0
467,29,180,1.0
470,180,180,1.0
472,156,180,1.0
473,178,180,1.0
503,88,88,1.0
512,81,81,1.0
513,222,81,1.0
517,70,70,1.0
519,163,163,1.0
520,218,218,1.0
536,158,158,1.0
537,16,16,1.0
538,127,127,1.0
540,243,243,1.0
571,102,102,1.0
579,145,145,1.0
582,85,85,1.0
583,1,85,1.0
586,6,1,1.0
592,29,1,1.0
596,85,1,1.0
597,1,1,1.0
600,112,1,1.0
612,161,161,1.0
626,234,234,1.0
639,117,117,1.0
654,128,128,1.0
668,6,6,1.0
669,202,202,1.0
677,157,157,1.0
678,96,96,1.0
680,171,171,1.0
701,133,133,1.0
705,44,44,1.0
707,61,61,1.0
736,14,14,1.0
737,95,14,1.0
739,124,124,1.0
740,180,156,1.0
741,156,156,1.0
742,206,206,1.0
754,1,112,1.0
755,112,112,1.0
762,184,184,1.0
769,81,222,1.0
770,222,222,1.0
771,104,104,1.0
773,42,42,1.0
784,209,209,1.0
785,69,69,1.0
793,76,76,1.0
799,153,153,1.0
803,137,137,1.0
809,77,233,1.0
810,233,233,1.0
821,55,55,1.0
823,98,98,1.0
824,67,67,1.0
839,62,62,1.0
847,223,223,1.0
862,170,170,1.0
873,97,97,1.0
877,183,183,1.0
880,182,182,1.0
890,22,22,1.0
891,94,22,1.0
894,125,22,1.0
919,115,115,1.0
933,93,93,1.0
950,180,178,1.0
951,178,178,1.0
952,29,25,1.0
953,172,25,1.0
957,25,25,1.0
958,191,25,1.0
961,196,25,1.0
